label,sender,subject,body
benign,it-helpdesk@company.example,Water bill for June available,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,alumni@university.edu,Library hours during exam week,"Good morning,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,newsletter@news.example,Your order has shipped,"Hello,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Kind regards, Campus Services"
benign,registrar@university.edu,Course registration confirmation,"Hi there,

Your payment of $56.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,notices@university.edu,Weekly campus newsletter,"Hello,

Your payment of $63.00 was received on the 3rd. This receipt confirms the settled balance.

Thanks, Administration"
phishing,no-reply@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.amaz0n-pay.xyz/verify?ref=100000

Your account has been compromised and will be terminated.

Security Team"
phishing,support@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://secure-login.company-portal-login.xyz/verify?ref=100001

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.appleid-support.top/verify?ref=100002

Your account has been compromised and will be terminated.

Security Team"
phishing,support@paypa1-secure.top,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: https://paypa1-secure.top/account/confirm?id=100003

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://company-portal-login.xyz/account/confirm?id=100004

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@appleid-support.top,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: https://appleid-support.top/account/confirm?id=100005

Your account has been compromised and will be terminated.

Security Team"
phishing,no-reply@amaz0n-pay.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.amaz0n-pay.xyz/verify?ref=100006

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@micr0soft-verify.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100007

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@amaz0n-pay.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.9/signin/100008

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.10/signin/100009

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@netflix-billing.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100010

Your account has been compromised and will be terminated.

Security Team"
phishing,support@company-portal-login.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://185.220.101.12/login?session=100011

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@appleid-support.top,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://appleid-support.top/account/confirm?id=100012

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@amaz0n-pay.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://45.33.32.14/signin/100013

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@paypa1-secure.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://paypa1-secure.top/account/confirm?id=100014

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://appleid-support.top/account/confirm?id=100015

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@micr0soft-verify.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.17/signin/100016

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@appleid-support.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.18/login?session=100017

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@company-portal-login.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.19/signin/100018

Failure to act will result in your account closed permanently.

Security Team"
phishing,support@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.20/login?session=100019

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@paypa1-secure.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.21/signin/100020

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@appleid-support.top,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://185.220.101.22/login?session=100021

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@appleid-support.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.appleid-support.top/verify?ref=100022

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://45.33.32.24/signin/100023

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.25/signin/100024

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.26/signin/100025

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@amaz0n-pay.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100026

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@appleid-support.top,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.28/login?session=100027

Failure to act will result in your account closed permanently.

Security Team"
phishing,support@company-portal-login.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://185.220.101.29/login?session=100028

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@paypa1-secure.top,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://secure-login.paypa1-secure.top/verify?ref=100029

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@paypa1-secure.top,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.paypa1-secure.top/verify?ref=100030

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@netflix-billing.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100031

Your account has been compromised and will be terminated.

Security Team"
phishing,support@amaz0n-pay.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.33/login?session=100032

Failure to act will result in your account closed permanently.

Security Team"
phishing,support@amaz0n-pay.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100033

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.35/signin/100034

Your account has been compromised and will be terminated.

Security Team"
phishing,no-reply@micr0soft-verify.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100035

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.37/login?session=100036

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@company-portal-login.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.38/signin/100037

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.39/signin/100038

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.40/login?session=100039

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: https://netflix-billing.xyz/account/confirm?id=100040

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@netflix-billing.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.42/signin/100041

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@micr0soft-verify.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.micr0soft-verify.xyz/verify?ref=100042

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@paypa1-secure.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.44/signin/100043

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@company-portal-login.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.45/signin/100044

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.46/signin/100045

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@micr0soft-verify.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.47/login?session=100046

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://netflix-billing.xyz/account/confirm?id=100047

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@amaz0n-pay.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.49/login?session=100048

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@amaz0n-pay.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.amaz0n-pay.xyz/verify?ref=100049

Your account has been compromised and will be terminated.

Security Team"
phishing,support@appleid-support.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: https://appleid-support.top/account/confirm?id=100050

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.52/signin/100051

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@company-portal-login.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.company-portal-login.xyz/verify?ref=100052

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@amaz0n-pay.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.54/login?session=100053

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@netflix-billing.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100054

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.56/signin/100055

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@amaz0n-pay.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100056

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@netflix-billing.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100057

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@micr0soft-verify.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.59/signin/100058

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@netflix-billing.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://netflix-billing.xyz/account/confirm?id=100059

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@micr0soft-verify.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.61/login?session=100060

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://company-portal-login.xyz/account/confirm?id=100061

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@appleid-support.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.63/login?session=100062

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@paypa1-secure.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: https://paypa1-secure.top/account/confirm?id=100063

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@micr0soft-verify.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://45.33.32.65/signin/100064

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.appleid-support.top/verify?ref=100065

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@appleid-support.top,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.67/login?session=100066

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@amaz0n-pay.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.68/signin/100067

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@micr0soft-verify.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100068

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@appleid-support.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.70/signin/100069

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@appleid-support.top,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.71/login?session=100070

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://company-portal-login.xyz/account/confirm?id=100071

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100072

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.74/login?session=100073

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@paypa1-secure.top,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://secure-login.paypa1-secure.top/verify?ref=100074

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.76/signin/100075

Your account has been compromised and will be terminated.

Security Team"
phishing,support@amaz0n-pay.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.77/login?session=100076

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@company-portal-login.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.78/login?session=100077

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@micr0soft-verify.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.79/signin/100078

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@amaz0n-pay.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.80/login?session=100079

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@netflix-billing.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.81/login?session=100080

Your account has been compromised and will be terminated.

Security Team"
phishing,support@company-portal-login.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://45.33.32.82/signin/100081

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@appleid-support.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.83/login?session=100082

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@paypa1-secure.top,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.paypa1-secure.top/verify?ref=100083

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@amaz0n-pay.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100084

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@company-portal-login.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://company-portal-login.xyz/account/confirm?id=100085

Your account has been compromised and will be terminated.

Security Team"
phishing,no-reply@company-portal-login.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://company-portal-login.xyz/account/confirm?id=100086

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@micr0soft-verify.xyz,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://secure-login.micr0soft-verify.xyz/verify?ref=100087

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.89/login?session=100088

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@appleid-support.top,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.90/login?session=100089

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@amaz0n-pay.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100090

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@amaz0n-pay.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.amaz0n-pay.xyz/verify?ref=100091

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@micr0soft-verify.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.93/login?session=100092

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@paypa1-secure.top,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.paypa1-secure.top/verify?ref=100093

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.95/signin/100094

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@amaz0n-pay.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100095

Failure to act will result in your account closed permanently.

Security Team"
phishing,support@netflix-billing.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://45.33.32.97/signin/100096

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.98/signin/100097

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@netflix-billing.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100098

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@paypa1-secure.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://45.33.32.100/signin/100099

Your account has been compromised and will be terminated.

Security Team"
phishing,account-services@micr0soft-verify.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100100

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@amaz0n-pay.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.amaz0n-pay.xyz/verify?ref=100101

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@paypa1-secure.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.103/login?session=100102

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@appleid-support.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://secure-login.appleid-support.top/verify?ref=100103

Failure to act will result in your account closed permanently.

Security Team"
phishing,support@amaz0n-pay.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://amaz0n-pay.xyz/account/confirm?id=100104

Your account has been compromised and will be terminated.

Security Team"
phishing,billing@company-portal-login.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://secure-login.company-portal-login.xyz/verify?ref=100105

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,support@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://45.33.32.107/signin/100106

Your account has been compromised and will be terminated.

Security Team"
phishing,security-alert@micr0soft-verify.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100107

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://45.33.32.109/signin/100108

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@paypa1-secure.top,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://185.220.101.110/login?session=100109

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@company-portal-login.xyz,Security alert: verify password immediately,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: http://185.220.101.111/login?session=100110

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,account-services@netflix-billing.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.netflix-billing.xyz/verify?ref=100111

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,security-alert@appleid-support.top,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://appleid-support.top/account/confirm?id=100112

Your account has been compromised and will be terminated.

Security Team"
phishing,support@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.114/login?session=100113

Failure to act will result in your account closed permanently.

Security Team"
phishing,account-services@netflix-billing.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: http://185.220.101.115/login?session=100114

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,no-reply@micr0soft-verify.xyz,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must verify your password within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100115

Ignoring this notice will lead to legal action against your account.

Security Team"
phishing,billing@micr0soft-verify.xyz,Action required: confirm your account now,"Dear customer,

We detected unusual activity on your profile. You must update your password now within 24 hours: http://185.220.101.117/login?session=100116

Failure to act will result in your account closed permanently.

Security Team"
phishing,billing@micr0soft-verify.xyz,Payment declined: update your billing immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://micr0soft-verify.xyz/account/confirm?id=100117

Your account has been compromised and will be terminated.

Security Team"
phishing,no-reply@appleid-support.top,Unusual activity detected: confirm your account,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: http://secure-login.appleid-support.top/verify?ref=100118

Failure to act will result in your account closed permanently.

Security Team"
phishing,no-reply@company-portal-login.xyz,URGENT: verify your account immediately,"Dear customer,

We detected unusual activity on your profile. You must confirm your account within 24 hours: https://company-portal-login.xyz/account/confirm?id=100119

Failure to act will result in your account closed permanently.

Security Team"
phishing,security-alert@paypa1-secure.top,Your account will be suspended within 24 hours,"Dear customer,

We detected unusual activity on your profile. You must enter your password on the secure page within 24 hours: https://paypa1-secure.top/account/confirm?id=100120

Your account has been compromised and will be terminated.

Security Team"
